rank,uri,artist_names,artist_names_1,artist_names_2,artist_names_3,artist_names_4,artist_names_5,artist_names_6,artist_names_7,artist_names_8,artist_names_9,artist_names_10,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,season,month,week
68,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,Ariana Grande,,,,,,,,,,"thank u, next",Republic Records,1,64,32,2664783,Spring ,June,36
69,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Post Malone,,,,,,,,,,Better Now,Republic Records,1,65,59,2664066,Spring ,June,36
70,spotify:track:1ThmUihH9dF8EV08ku5AXN,Ski Mask The Slump God,Ski Mask The Slump God,,,,,,,,,,Faucet Failure,Republic Records,27,61,27,2612151,Spring ,June,36
71,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,OneRepublic,,,,,,,,,,Rescue Me,Mosley Music/Interscope Records,66,66,4,2603593,Spring ,June,36
72,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,XXXTENTACION,,,,,,,,,,SAD!,"Bad Vibes Forever, LLC",1,67,67,2591143,Spring ,June,36
73,spotify:track:0e7ipj03S05BNilyu5bRzt,"Post Malone, 21 Savage",Post Malone,21 Savage,,,,,,,,,rockstar (feat. 21 Savage),Republic Records,1,76,91,2553442,Spring ,June,36
74,spotify:track:1c0hsvHLELX6y8qymnpLKL,"Lunay, Daddy Yankee, Bad Bunny",Lunay,Daddy Yankee,Bad Bunny,,,,,,,,Soltera - Remix,La Familia,60,62,5,2532142,Spring ,June,36
75,spotify:track:4c1WgUnHXq2LEncGHKgj1I,"BTS, Charli XCX",BTS,Charli XCX,,,,,,,,,Dream Glow (BTS World Original Soundtrack) - Pt. 1,TakeOne Company | BigHit Entertainment,75,-1,1,2524313,Spring ,June,36
76,spotify:track:7dxKdQC9Vo1hDxIUnt1z0Q,Jonas Brothers,Jonas Brothers,,,,,,,,,,Rollercoaster,Jonas Brothers Recording,76,-1,1,2445115,Spring ,June,36
77,spotify:track:2rxQMGVafnNaRaXlRMWPde,Luke Combs,Luke Combs,,,,,,,,,,Beautiful Crazy,River House Artists/Columbia Nashville,61,74,50,2421015,Spring ,June,36
78,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,High Hopes,DCD2 / Fueled By Ramen,13,81,52,2416326,Spring ,June,36
79,spotify:track:3A2yGHWIzmGEIolwonU69h,City Girls,City Girls,,,,,,,,,,Act Up,Quality Control Music/Motown Records,66,80,15,2410163,Spring ,June,36
80,spotify:track:2n6red10oCd6YhlEUp6jXy,Jonas Brothers,Jonas Brothers,,,,,,,,,,Used To Be,Jonas Brothers Recording,80,-1,1,2402380,Spring ,June,36
81,spotify:track:7COXchtUOMd6uIT6HvmRaI,"Lauv, Troye Sivan",Lauv,Troye Sivan,,,,,,,,,i'm so tired...,Lauv,23,71,20,2383629,Spring ,June,36
82,spotify:track:5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow",Daddy Yankee,Snow,,,,,,,,,Con Calma,El Cartel Records (EC3),45,129,18,2383310,Spring ,June,36
83,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Ava Max,,,,,,,,,,Sweet but Psycho,Atlantic Records,36,79,36,2359497,Spring ,June,36
84,spotify:track:4ZT9FnbFu1PaBfV3itxiqT,Lil Skies,Lil Skies,,,,,,,,,,I,All We Got Ent.,16,73,15,2356983,Spring ,June,36
85,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,"Sech, Darell",Sech,Darell,,,,,,,,,Otro Trago,Rich Music/Ingrooves Records,85,101,4,2356307,Spring ,June,36
86,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Lady Gaga,Bradley Cooper,,,,,,,,,Shallow,A Star is Born OST,10,95,37,2354400,Spring ,June,36
87,spotify:track:2toVe5hfuIi97ytDPDbQFt,"Tyga, Offset",Tyga,Offset,,,,,,,,,Taste (feat. Offset),Last Kings Music / EMPIRE,4,111,56,2348921,Spring ,June,36
88,spotify:track:3WyRgi8CzQnhzO0xw79tTS,DaBaby,DaBaby,,,,,,,,,,Goin Baby,South Coast Music Group/Interscope Records,67,68,8,2345108,Spring ,June,36
89,spotify:track:3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,Billie Eilish,,,,,,,,,,you should see me in a crown,Darkroom/Interscope Records,11,85,33,2319616,Spring ,June,36
90,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"Kodak Black, Offset, Travis Scott",Kodak Black,Offset,Travis Scott,,,,,,,,ZEZE (feat. Travis Scott & Offset),Atlantic Records,1,94,35,2293051,Spring ,June,36
91,spotify:track:5rU6kDNXZLXIinFezpbWbO,"NAV, Meek Mill",NAV,Meek Mill,,,,,,,,,Tap (feat. Meek Mill),"XO Records, LLC and Republic Records",79,98,7,2266157,Spring ,June,36
92,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,XXXTENTACION,,,,,,,,,,Moonlight,"Bad Vibes Forever, LLC",3,91,65,2247703,Spring ,June,36
93,spotify:track:2hgk8iKN9UdoM4ILlJ9F5N,Jonas Brothers,Jonas Brothers,,,,,,,,,,Love Her,Jonas Brothers Recording,93,-1,1,2214901,Spring ,June,36
94,spotify:track:2KqJC0koTBUyDlsMt5ok1V,Thomas Rhett,Thomas Rhett,,,,,,,,,,Look What God Gave Her,The Valory Music Co.,70,70,6,2195101,Spring ,June,36
95,spotify:track:24eP9hGnGR6RCQvllQVkCm,Jonas Brothers,Jonas Brothers,,,,,,,,,,Don't Throw it Away,Jonas Brothers Recording,95,-1,1,2180754,Spring ,June,36
96,spotify:track:5kfNriitmkNE8mUbZ7gbq8,Khalid,Khalid,,,,,,,,,,Saturday Nights,"Right Hand Music Group, LLC/RCA Records",14,93,33,2175905,Spring ,June,36
97,spotify:track:76F54HHrw84yqAYqrAJkbr,Jonas Brothers,Jonas Brothers,,,,,,,,,,Every Single Time,Jonas Brothers Recording,97,-1,1,2171944,Spring ,June,36
98,spotify:track:2tOOcDDYkh0PSjr6GwPEAJ,"MAX, Quinn XCII",MAX,Quinn XCII,,,,,,,,,Love Me Less (feat. Quinn XCII),Colour Vision Records/Sony Music Entertainment,68,88,6,2164896,Spring ,June,36
99,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,XXXTENTACION,,,,,,,,,,Jocelyn Flores,Bad Vibes Forever / EMPIRE,3,100,94,2152541,Spring ,June,36
100,spotify:track:1jlnBQGP2DtSEhMgQaz7a7,"Tyga, J Balvin, Chris Brown",Tyga,J Balvin,Chris Brown,,,,,,,,Haute (feat. J Balvin & Chris Brown),Last Kings Music / EMPIRE,100,-1,1,2143355,Spring ,June,36
101,spotify:track:4pCEIQ6wBVuaJdER5bALtO,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,That's a Rack,Generation Now/Atlantic,41,86,9,2141695,Spring ,June,36
102,spotify:track:1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,Sheck Wes,,,,,,,,,,Mo Bamba,Cactus Jack Records/ G.O.O.D. Music/ Interscope Records,1,97,46,2116639,Spring ,June,36
103,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,Billie Eilish,Billie Eilish,,,,,,,,,,my strange addiction,Darkroom/Interscope Records,10,105,11,2109857,Spring ,June,36
104,spotify:track:3sVLgsSTHRu483w6QciloO,Luke Combs,Luke Combs,,,,,,,,,,Even Though I'm Leaving,River House Artists/Columbia Nashville,104,-1,1,2106361,Spring ,June,36
105,spotify:track:1dyxS3YzBbL0t8rEVwVQ1K,Blake Shelton,Blake Shelton,,,,,,,,,,God's Country,Warner Records,90,90,6,2104852,Spring ,June,36
106,spotify:track:6pK5edDoyrn4mWwRSVc2a5,Ozuna,Ozuna,,,,,,,,,,Amor Genuino,Aura Music Corp.,106,167,2,2100222,Spring ,June,36
107,spotify:track:4e4fqjx0Izh4svvTef1z7e,"Bebe Rexha, Florida Georgia Line",Bebe Rexha,Florida Georgia Line,,,,,,,,,Meant to Be (feat. Florida Georgia Line),Warner Bros.,16,108,92,2090652,Spring ,June,36
108,spotify:track:0k664IuFwVP557Gnx7RhIl,Lizzo,Lizzo,,,,,,,,,,Juice,Nice Life/Atlantic,71,99,8,2079948,Spring ,June,36
109,spotify:track:58q2HKrzhC3ozto2nDdN4z,"Cardi B, Bad Bunny, J Balvin",Cardi B,Bad Bunny,J Balvin,,,,,,,,I Like It,Atlantic/KSR,3,102,62,2069439,Spring ,June,36
110,spotify:track:6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,Billie Eilish,,,,,,,,,,i love you,Darkroom/Interscope Records,17,113,11,2061703,Spring ,June,36
111,spotify:track:7fiFJADUcHwTdYLmnZeLAy,Jonas Brothers,Jonas Brothers,,,,,,,,,,Hesitate,Jonas Brothers Recording,111,-1,1,2050886,Spring ,June,36
112,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,5 Seconds of Summer,,,,,,,,,,Youngblood,Capitol,17,109,61,2041779,Spring ,June,36
113,spotify:track:22oEJW6r2rMb9z4IntfyEa,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,"Hey Look Ma, I Made It",DCD2 / Fueled By Ramen,67,107,9,2037709,Spring ,June,36
114,spotify:track:5wujBwqG7INdStqGd4tRMX,Juice WRLD,Juice WRLD,,,,,,,,,,Armed And Dangerous,Juice WRLD Mixtape / ISR P&D,9,106,31,2037391,Spring ,June,36
115,spotify:track:14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,Flipp Dinero,,,,,,,,,,Leave Me Alone,Cinematic/Epic/We The Best,10,103,44,2035792,Spring ,June,36
116,spotify:track:1HpzOCZbNWzxvvXfSGtSrX,"Mark Ronson, Camila Cabello",Mark Ronson,Camila Cabello,,,,,,,,,Find U Again (feat. Camila Cabello),Columbia,36,36,2,2033366,Spring ,June,36
117,spotify:track:0BnTBAGmr9FtYwkZrwKhwS,"DJ Khaled, SZA",DJ Khaled,SZA,,,,,,,,,Just Us (feat. SZA),Epic/We The Best,35,84,4,2031860,Spring ,June,36
118,spotify:track:0yFvWTLs3iIwDbc91noXGT,"Chance the Rapper, TisaKorean, Murda Beatz",Chance the Rapper,TisaKorean,Murda Beatz,,,,,,,,GRoCERIES,Chance the Rapper,47,82,4,2029047,Spring ,June,36
119,spotify:track:2G1tXoGBaEMJ7FKGnkf6ud,"Gucci Mane, Bruno Mars, Kodak Black",Gucci Mane,Bruno Mars,Kodak Black,,,,,,,,Wake Up in the Sky,Guwop Enterprises/Atlantic,6,115,39,2024974,Spring ,June,36
120,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,Billie Eilish,,,,,,,,,,ocean eyes,Darkroom,78,118,51,2020740,Spring ,June,36
121,spotify:track:4f8Mh5wuWHOsfXtzjrJB3t,"Tyler, The Creator",Tyler,The Creator,,,,,,,,,I THINK,Columbia,8,72,4,2017865,Spring ,June,36
122,spotify:track:4NN6N5TxBO5k9uqu0W4gfQ,"ScHoolboy Q, 21 Savage",ScHoolboy Q,21 Savage,,,,,,,,,Floating (feat. 21 Savage),Top Dawg Entertainment/Interscope Records,22,152,7,2012710,Spring ,June,36
123,spotify:track:1NF9EkR5OpMaoVWbsllcm9,Trippie Redd,Trippie Redd,,,,,,,,,,Under Enemy Arms,"TenThousand Projects, LLC",40,40,2,1998873,Spring ,June,36
124,spotify:track:0TlLq3lA83rQOYtrqBqSct,Drake,Drake,,,,,,,,,,Nonstop,Cash Money/Drake LP6,1,122,50,1995836,Spring ,June,36
125,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,Juice WRLD,,,,,,,,,,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,117,60,1994277,Spring ,June,36
126,spotify:track:4XiGKQqbmnMVxDzUj6j3f2,YK Osiris,YK Osiris,,,,,,,,,,Worth It,Def Jam Recordings,83,112,15,1986390,Spring ,June,36
127,spotify:track:2Jh3UqxnHJMyzMzku4uOtE,Juice WRLD,Juice WRLD,,,,,,,,,,Feeling,Grade A Productions/Interscope Records,55,110,11,1982596,Spring ,June,36
128,spotify:track:5icOoE6VgqFKohjWWNp0Ac,"Marshmello, CHVRCHES",Marshmello,CHVRCHES,,,,,,,,,Here With Me,Marshmello/Republic,16,75,14,1978977,Spring ,June,36
129,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,Post Malone,,,,,,,,,,I Fall Apart,Universal Records,2,121,91,1960132,Spring ,June,36
130,spotify:track:6bWBLZLBRQEJ5KsLicouNB,"Machine Gun Kelly, YUNGBLUD, Travis Barker",Machine Gun Kelly,YUNGBLUD,Travis Barker,,,,,,,,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Bad Boy/Interscope Records,130,-1,1,1958659,Spring ,June,36
131,spotify:track:5KawlOMHjWeUjQtnuRs22c,"BTS, Halsey",BTS,Halsey,,,,,,,,,Boy With Luv (feat. Halsey),BIGHIT MUSIC,4,114,9,1944212,Spring ,June,36
132,spotify:track:42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,Dan + Shay,,,,,,,,,,Tequila,Warner Records,60,141,65,1939691,Spring ,June,36
133,spotify:track:5md87aD3pGXRghKUbZdyh8,Jonas Brothers,Jonas Brothers,,,,,,,,,,Strangers,Jonas Brothers Recording,133,-1,1,1935629,Spring ,June,36
134,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,Dan + Shay,Dan + Shay,,,,,,,,,,Speechless,Warner Records,85,135,45,1934216,Spring ,June,36
135,spotify:track:6vN77lE9LK6HP2DewaN6HZ,"Lil Baby, Drake",Lil Baby,Drake,,,,,,,,,Yes Indeed,"Quality Control Music, LLC",2,124,57,1931810,Spring ,June,36
136,spotify:track:4QIo4oxwzzafcBWkKjDpXY,Billie Eilish,Billie Eilish,,,,,,,,,,xanny,Darkroom/Interscope Records,7,123,11,1930875,Spring ,June,36
137,spotify:track:064tgRK6FYBwikCdxaHFV1,Jonas Brothers,Jonas Brothers,,,,,,,,,,Comeback,Jonas Brothers Recording,137,-1,1,1920931,Spring ,June,36
138,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,Joji,,,,,,,,,,SLOW DANCING IN THE DARK,88rising Music/Warner Records,29,128,38,1916562,Spring ,June,36
139,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,Lauv,,,,,,,,,,I Like Me Better,Lauv,30,127,105,1914409,Spring ,June,36
140,spotify:track:3TpBefRZ1vFcOH6z57PQRI,"Bryce Vine, YG",Bryce Vine,YG,,,,,,,,,La La Land (feat. YG),Sire,126,126,2,1913465,Spring ,June,36
141,spotify:track:3swc6WTsr7rl9DqQKQA55C,"Post Malone, Ty Dolla $ign",Post Malone,Ty Dolla $ign,,,,,,,,,Psycho (feat. Ty Dolla $ign),Republic Records,2,125,68,1910604,Spring ,June,36
142,spotify:track:5tmu5pAFHkUSl8Fo8ncyA4,Russ,Russ,,,,,,,,,,CIVIL WAR - Bonus,Columbia,142,145,4,1907839,Spring ,June,36
143,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Queen,,,,,,,,,,Bohemian Rhapsody - Remastered 2011,Hollywood Records,42,134,33,1896169,Spring ,June,36
144,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,Lil Uzi Vert,,,,,,,,,,XO Tour Llif3,Generation Now/Atlantic,2,130,116,1886768,Spring ,June,36
145,spotify:track:6JQvHMSaR8flFsN53ypOfP,Lil Mosey,Lil Mosey,,,,,,,,,,Noticed,Mogul Vision/Interscope Records,20,137,43,1881182,Spring ,June,36
146,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,Dominic Fike,,,,,,,,,,3 Nights,Columbia,49,119,11,1879838,Spring ,June,36
147,spotify:track:7sO5G9EABYOXQKNPNiE9NR,"Offset, Metro Boomin",Offset,Metro Boomin,,,,,,,,,Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,155,85,1869016,Spring ,June,36
148,spotify:track:4ANFPo7dzs2DdPuONXC9bp,Future,Future,,,,,,,,,,Please Tell Me,Epic/Freebandz,148,-1,1,1857590,Spring ,June,36
149,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,Drake,,,,,,,,,,God's Plan,Cash Money/Drake LP6,1,131,73,1856007,Spring ,June,36
150,spotify:track:1Hd2XLitkt1PYCWSbfF5qV,"DJ Khaled, Cardi B, 21 Savage",DJ Khaled,Cardi B,21 Savage,,,,,,,,Wish Wish (feat. Cardi B & 21 Savage),Epic/We The Best,38,96,4,1846618,Spring ,June,36
151,spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"Post Malone, Quavo",Post Malone,Quavo,,,,,,,,,Congratulations,Universal Records,5,136,129,1845555,Spring ,June,36
152,spotify:track:5qrSlOut2rNAWv3ubArkNy,Dean Lewis,Dean Lewis,,,,,,,,,,Be Alright,Universal Music Australia Pty. Ltd.,31,132,46,1840277,Spring ,June,36
153,spotify:track:5CKtlUULFD5aPVX4PL02H6,"Tory Lanez, Quavo, Tyga",Tory Lanez,Quavo,Tyga,,,,,,,,Broke Leg (with Quavo & Tyga),Mad Love/Interscope Records,83,83,2,1829406,Spring ,June,36
154,spotify:track:6DibqiBTKMob2SjBwKqRfS,Jonas Brothers,Jonas Brothers,,,,,,,,,,Happy When I'm Sad,Jonas Brothers Recording,154,-1,1,1829397,Spring ,June,36
155,spotify:track:7AQim7LbvFVZJE3O8TYgf2,"XXXTENTACION, Trippie Redd",XXXTENTACION,Trippie Redd,,,,,,,,,Fuck Love (feat. Trippie Redd),Bad Vibes Forever / EMPIRE,8,138,94,1829033,Spring ,June,36
156,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",Bad Bunny,Drake,,,,,,,,,MIA (feat. Drake),OVO Sound/Warner Records,2,143,35,1817358,Spring ,June,36
157,spotify:track:5MoU7TaAvgBa8W0XVwXAd7,Jonas Brothers,Jonas Brothers,,,,,,,,,,Trust,Jonas Brothers Recording,157,-1,1,1808444,Spring ,June,36
158,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Khalid,,,,,,,,,,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",6,140,113,1806284,Spring ,June,36
159,spotify:track:3tZ4zv4UuenjJGSNUMfBNG,Future,Future,,,,,,,,,,XanaX Damage,Epic/Freebandz,159,-1,1,1790299,Spring ,June,36
160,spotify:track:40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,Billie Eilish,,,,,,,,,,idontwannabeyouanymore,Darkroom,48,146,48,1785560,Spring ,June,36
161,spotify:track:2GGMabyHXnJmjY6CXhhB2e,Cardi B,Cardi B,,,,,,,,,,Money,Atlantic/KSR,17,139,34,1773159,Spring ,June,36
162,spotify:track:56eGOeSsqdg3FLxdo83TwV,Lee Brice,Lee Brice,,,,,,,,,,Rumor,Curb Records,150,150,4,1762506,Spring ,June,36
163,spotify:track:7EAaSaj1OgZgMX5yZyFXFC,Tory Lanez,Tory Lanez,,,,,,,,,,Freaky,Mad Love/Interscope Records,79,116,13,1751133,Spring ,June,36
164,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,Billie Eilish,,,,,,,,,,all the good girls go to hell,Darkroom/Interscope Records,8,149,11,1743272,Spring ,June,36
165,spotify:track:5QiNbIilmMiMBXvaAlf7lN,"The Chainsmokers, 5 Seconds of Summer",The Chainsmokers,5 Seconds of Summer,,,,,,,,,Who Do You Love,Disruptor Records/Columbia,33,104,18,1731640,Spring ,June,36
166,spotify:track:152lZdxL1OR0ZMW6KquMif,Khalid,Khalid,,,,,,,,,,Location,"Right Hand Music Group, LLC/RCA Records",9,156,126,1730371,Spring ,June,36
167,spotify:track:3oh6SCCeLuXhFpEyepla6G,Blueface,Blueface,,,,,,,,,,Thotiana,Fifth Amendment Entertainment/eOne Music,9,144,23,1729016,Spring ,June,36
168,spotify:track:51NFxnQvaosfDDutk0tams,Billie Eilish,Billie Eilish,,,,,,,,,,bellyache,Darkroom,49,161,32,1702592,Spring ,June,36
169,spotify:track:2OKo7g3KfmCt3kyLvUAL0g,NF,NF,,,,,,,,,,The Search,NF Real Music,56,56,2,1702470,Spring ,June,36
170,spotify:track:5Gu0PDLN4YJeW75PpBSg9p,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",Hailee Steinfeld,Alesso,Florida Georgia Line,WATT,,,,,,,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Universal Records,19,159,49,1694637,Spring ,June,36
171,spotify:track:2qGfZAgDe1pV2y5xJAhi6R,YoungBoy Never Broke Again,YoungBoy Never Broke Again,,,,,,,,,,Slime Belief,"Never Broke Again, LLC",142,153,16,1689553,Spring ,June,36
172,spotify:track:09IStsImFySgyp0pIQdqAc,"Zedd, Maren Morris, Grey",Zedd,Maren Morris,Grey,,,,,,,,The Middle,UMGRI Interscope,7,172,70,1688939,Spring ,June,36
173,spotify:track:698eQRku24PIYPQPHItKlA,Luke Combs,Luke Combs,,,,,,,,,,She Got the Best of Me,River House Artists/Columbia Nashville,163,165,11,1679103,Spring ,June,36
174,spotify:track:79JBjIq90BrQ8Ws0pUhlzD,Mabel,Mabel,,,,,,,,,,Mad Love,Polydor Records,174,-1,1,1672972,Spring ,June,36
175,spotify:track:7dou6LA8IUrO1XWju2sHdI,Luke Combs,Luke Combs,,,,,,,,,,Lovin' On You,River House Artists/Columbia Nashville,175,-1,1,1664098,Spring ,June,36
176,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,HUMBLE.,Aftermath,1,163,114,1654112,Spring ,June,36
177,spotify:track:1b0YOwtdW5ibaAhHEsbdjB,Luke Combs,Luke Combs,,,,,,,,,,Refrigerator Door,River House Artists/Columbia Nashville,177,-1,1,1651098,Spring ,June,36
178,spotify:track:1mMLMZYXkMueg65jRRWG1l,Luke Combs,Luke Combs,,,,,,,,,,When It Rains It Pours,River House Artists/Columbia Nashville,123,-1,40,1635924,Spring ,June,36
179,spotify:track:0PG9fbaaHFHfre2gUVo7AN,"Cardi B, Bruno Mars",Cardi B,Bruno Mars,,,,,,,,,Please Me,Atlantic/KSR,15,158,17,1625120,Spring ,June,36
180,spotify:track:5JEx7HbmvHQQswJCsoo9rA,"Ellie Goulding, Diplo, Swae Lee",Ellie Goulding,Diplo,Swae Lee,,,,,,,,Close To Me (with Diplo) (feat. Swae Lee),Polydor Records,33,162,33,1610385,Spring ,June,36
181,spotify:track:3wLtYwtqvKK2ewelSVPeDK,Roddy Ricch,Roddy Ricch,,,,,,,,,,Die Young,Bird Vision Entertainment,128,142,11,1606365,Spring ,June,36
182,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,Luke Combs,Luke Combs,,,,,,,,,,Hurricane,River House Artists/Columbia Nashville,86,-1,45,1604109,Spring ,June,36
183,spotify:track:36HbtBrGbRWfeeSq50orF6,Luke Combs,Luke Combs,,,,,,,,,,Moon Over Mexico,River House Artists/Columbia Nashville,183,-1,1,1598165,Spring ,June,36
184,spotify:track:6v0lAdFF4haL8xjBIUjtOw,"Nicky Jam, Ozuna",Nicky Jam,Ozuna,,,,,,,,,Te Robare,Sony Music Latin,178,188,9,1595184,Spring ,June,36
185,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Travis Scott,,,,,,,,,,goosebumps,Epic/Grand Hustle,16,174,129,1593843,Spring ,June,36
186,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,"Kehlani, Ty Dolla $ign",Kehlani,Ty Dolla $ign,,,,,,,,,Nights Like This (feat. Ty Dolla $ign),TSNMI / Atlantic,21,173,22,1583161,Spring ,June,36
187,spotify:track:08tq1XcHwVt5PHXUo87i0D,Dan + Shay,Dan + Shay,,,,,,,,,,All To Myself,Warner Records,187,-1,1,1582637,Spring ,June,36
188,spotify:track:1fewSx2d5KIZ04wsooEBOz,"Metro Boomin, Gunna",Metro Boomin,Gunna,,,,,,,,,Space Cadet (feat. Gunna),Republic Records,20,183,32,1576298,Spring ,June,36
189,spotify:track:6ya8ejoKgw906Y8LWclqrp,"Nipsey Hussle, Roddy Ricch, Hit-Boy",Nipsey Hussle,Roddy Ricch,Hit-Boy,,,,,,,,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Atlantic Records,33,151,11,1573580,Spring ,June,36
190,spotify:track:7AFASza1mXqntmGtbxXprO,XXXTENTACION,XXXTENTACION,,,,,,,,,,changes,"Bad Vibes Forever, LLC",7,176,67,1565518,Spring ,June,36
191,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,Drake,Drake,,,,,,,,,,Nice For What,Cash Money/Drake LP6,1,180,62,1555995,Spring ,June,36
192,spotify:track:7jI9cnrZof9mRNpIsA7QQN,Roddy Ricch,Roddy Ricch,,,,,,,,,,Out Tha Mud,Atlantic Records,192,-1,1,1552490,Spring ,June,36
193,spotify:track:4NBTZtAt1F13VvlSKe6KTl,"The Chainsmokers, Kelsea Ballerini",The Chainsmokers,Kelsea Ballerini,,,,,,,,,This Feeling,Disruptor Records/Columbia,25,196,37,1551245,Spring ,June,36
194,spotify:track:0bPnT6i9H1p8Vd85GS6Z7I,Jon Pardi,Jon Pardi,,,,,,,,,,Night Shift,Capitol Records Nashville,194,194,2,1541462,Spring ,June,36
195,spotify:track:5QvBXUm5MglLJ3iBfTX2Wo,"Tyler, The Creator",Tyler,The Creator,,,,,,,,,RUNNING OUT OF TIME,Columbia,13,120,4,1533869,Spring ,June,36
196,spotify:track:4OBZT9EnhYIV17t4pGw7ig,"Daniel Caesar, H.E.R.",Daniel Caesar,H.E.R.,,,,,,,,,Best Part (feat. H.E.R.),MBK Entertainment/RCA Records,68,185,54,1531606,Spring ,June,36
197,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,"BlocBoy JB, Drake",BlocBoy JB,Drake,,,,,,,,,Look Alive (feat. Drake),OVO Sound/Warner Records,3,179,70,1516925,Spring ,June,36
198,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,Drake,Drake,,,,,,,,,,In My Feelings,Cash Money/Drake LP6,1,186,48,1514163,Spring ,June,36
199,spotify:track:62vpWI1CHwFy7tMIcSStl8,J. Cole,J. Cole,,,,,,,,,,No Role Modelz,Roc Nation Records LLC,65,190,104,1510848,Spring ,June,36
200,spotify:track:4yn0ftNHQSwsWE81h33y4K,"Tyga, Gunna",Tyga,Gunna,,,,,,,,,Legendary (feat. Gunna),Last Kings Music / EMPIRE,200,-1,1,1506324,Spring ,June,36
1,spotify:track:5ry2OE6R2zPQFDO85XkgRb,"Drake, Rick Ross",Drake,Rick Ross,,,,,,,,,Money In The Grave (Drake ft. Rick Ross),Republic Records,1,-1,1,11629485,Spring ,June,37
2,spotify:track:29fRTIKsJhLUJoldM89GZS,Taylor Swift,Taylor Swift,,,,,,,,,,You Need To Calm Down,Taylor Swift,2,-1,1,11225591,Spring ,June,37
3,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,Billie Eilish,,,,,,,,,,bad guy,Darkroom/Interscope Records,1,1,12,8577200,Spring ,June,37
4,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,"Lil Nas X, Billy Ray Cyrus",Lil Nas X,Billy Ray Cyrus,,,,,,,,,Old Town Road - Remix,Columbia,1,2,11,7656707,Spring ,June,37
5,spotify:track:7FEwp8BavoEVE3AnxJDchc,"Chris Brown, Drake",Chris Brown,Drake,,,,,,,,,No Guidance (feat. Drake),Chris Brown Entertainment/RCA Records,5,11,2,7247191,Spring ,June,37
